"VEN_DEV_SUBSYS";"VEN";"VEN_name";"DEV";"DEV_name";"SUBSYS";"SUBSYS_name"
"";"0001";"SafeNet (wrong ID)";"";"";"";""
"VEN_0010&DEV_8139";"0010";"Allied Telesis, Inc (Wrong ID)";"8139";"AT-2500TX V3 Ethernet";"";""
"VEN_0014&DEV_7A00";"0014";"Loongson Technology LLC";"7A00";"Hyper Transport Bridge Controller";"";""
"VEN_0014&DEV_7A02";"0014";"Loongson Technology LLC";"7A02";"APB (Advanced Peripheral Bus) Controller";"";""
"VEN_0014&DEV_7A03";"0014";"Loongson Technology LLC";"7A03";"Gigabit Ethernet Controller";"";""
"VEN_0014&DEV_7A04";"0014";"Loongson Technology LLC";"7A04";"OTG USB Controller";"";""
"VEN_0014&DEV_7A05";"0014";"Loongson Technology LLC";"7A05";"Vivante GPU (Graphics Processing Unit)";"";""
"VEN_0014&DEV_7A06";"0014";"Loongson Technology LLC";"7A06";"DC (Display Controller)";"";""
"VEN_0014&DEV_7A07";"0014";"Loongson Technology LLC";"7A07";"HDA (High Definition Audio) Controller";"";""
"VEN_0014&DEV_7A08";"0014";"Loongson Technology LLC";"7A08";"SATA AHCI Controller";"";""
"VEN_0014&DEV_7A09";"0014";"Loongson Technology LLC";"7A09";"PCI-to-PCI Bridge";"";""
"VEN_0014&DEV_7A0B";"0014";"Loongson Technology LLC";"7A0B";"SPI Controller";"";""
"VEN_0014&DEV_7A0C";"0014";"Loongson Technology LLC";"7A0C";"LPC Controller";"";""
"VEN_0014&DEV_7A0F";"0014";"Loongson Technology LLC";"7A0F";"DMA (Direct Memory Access) Controller";"";""
"VEN_0014&DEV_7A10";"0014";"Loongson Technology LLC";"7A10";"Hyper Transport Bridge Controller";"";""
"VEN_0014&DEV_7A14";"0014";"Loongson Technology LLC";"7A14";"EHCI USB Controller";"";""
"VEN_0014&DEV_7A15";"0014";"Loongson Technology LLC";"7A15";"Vivante GPU (Graphics Processing Unit)";"";""
"VEN_0014&DEV_7A19";"0014";"Loongson Technology LLC";"7A19";"PCI-to-PCI Bridge";"";""
"VEN_0014&DEV_7A24";"0014";"Loongson Technology LLC";"7A24";"OHCI USB Controller";"";""
"VEN_0014&DEV_7A29";"0014";"Loongson Technology LLC";"7A29";"PCI-to-PCI Bridge";"";""
"VEN_001C&DEV_0001";"001C";"PEAK-System Technik GmbH";"0001";"PCAN-PCI CAN-Bus controller";"";""
"VEN_001C&DEV_0001&SUBSYS_0004001C";"001C";"PEAK-System Technik GmbH";"0001";"PCAN-PCI CAN-Bus controller";"0004001C";"2 Channel CAN Bus SJC1000"
"VEN_001C&DEV_0001&SUBSYS_0005001C";"001C";"PEAK-System Technik GmbH";"0001";"PCAN-PCI CAN-Bus controller";"0005001C";"2 Channel CAN Bus SJC1000 (Optically Isolated)"
"";"003D";"Lockheed Martin-Marietta Corp";"";"";"";""
"";"0059";"Tiger Jet Network Inc. (Wrong ID)";"";"";"";""
"VEN_0070&DEV_7801";"0070";"Hauppauge computer works Inc.";"7801";"WinTV HVR-1800 MCE";"";""
"";"0071";"Nebula Electronics Ltd.";"";"";"";""
"VEN_0095&DEV_0680";"0095";"Silicon Image, Inc. (Wrong ID)";"0680";"Ultra ATA/133 IDE RAID CONTROLLER CARD";"";""
"";"00A7";"Teles AG (Wrong ID)";"";"";"";""
"";"0100";"nCipher Security";"";"";"";""
"";"0123";"General Dynamics";"";"";"";""
"";"0128";"Dell (wrong ID)";"";"";"";""
"VEN_018A&DEV_0106";"018A";"LevelOne";"0106";"FPC-0106TX misprogrammed [RTL81xx]";"";""
"";"01DE";"Oxide Computer Company";"";"";"";""
"";"0200";"Dell (wrong ID)";"";"";"";""
"VEN_021B&DEV_8139";"021B";"Compaq Computer Corporation";"8139";"HNE-300 (RealTek RTL8139c) [iPaq Networking]";"";""
"";"0270";"Hauppauge computer works Inc. (Wrong ID)";"";"";"";""
"";"0291";"Davicom Semiconductor, Inc. (Wrong ID)";"";"";"";""
"VEN_02AC&DEV_1012";"02AC";"SpeedStream";"1012";"1012 PCMCIA 10/100 Ethernet Card [RTL81xx]";"";""
"";"02E0";"XFX Pine Group Inc. (Wrong ID)";"";"";"";""
"";"0303";"Hewlett-Packard Company (Wrong ID)";"";"";"";""
"";"0308";"ZyXEL Communications Corporation (Wrong ID)";"";"";"";""
"";"0315";"SK-Electronics Co., Ltd.";"";"";"";""
"VEN_0357&DEV_000A";"0357";"TTTech Computertechnik AG (Wrong ID)";"000A";"TTP-Monitoring Card V2.0";"";""
