"VID_PID";"VID";"VID_name";"PID";"PID_name"
"VID_0001&PID_7778";"0001";"Fry's Electronics";"7778";"Counterfeit flash drive [Kingston]"
"VID_0002&PID_0002";"0002";"Ingram";"0002";"passport00"
"";"0003";"Club Mac";"";""
"";"0004";"Nebraska Furniture Mart";"";""
"VID_0011&PID_7788";"0011";"Unknown";"7788";"counterfeit flash drive"
"VID_0053&PID_5301";"0053";"Planex";"5301";"GW-US54ZGL 802.11bg"
"VID_0078&PID_0006";"0078";"Microntek";"0006";"Joystick"
"VID_0079&PID_0006";"0079";"DragonRise Inc.";"0006";"PC TWIN SHOCK Gamepad"
"VID_0079&PID_0011";"0079";"DragonRise Inc.";"0011";"Gamepad"
"VID_0079&PID_1800";"0079";"DragonRise Inc.";"1800";"Mayflash Wii U Pro Game Controller Adapter [DirectInput]"
"VID_0079&PID_181B";"0079";"DragonRise Inc.";"181B";"Venom Arcade Joystick"
"VID_0079&PID_1843";"0079";"DragonRise Inc.";"1843";"Mayflash GameCube Controller Adapter"
"VID_0079&PID_1844";"0079";"DragonRise Inc.";"1844";"Mayflash GameCube Controller"
"VID_0080&PID_A001";"0080";"Unknown";"A001";"JMS578 based SATA bridge"
"VID_0085&PID_0600";"0085";"Boeye Technology Co., Ltd.";"0600";"eBook Reader"
"";"0102";"miniSTREAK";"";""
"VID_0105&PID_145F";"0105";"Trust International B.V.";"145F";"NW-3100 802.11b/g 54Mbps Wireless Network Adapter [zd1211]"
"VID_0127&PID_0002";"0127";"IBP";"0002";"HDM Interface"
"VID_0127&PID_0127";"0127";"IBP";"0127";"ibp"
"VID_0145&PID_0112";"0145";"Unknown";"0112";"Card Reader"
"VID_017C&PID_145F";"017C";"MLK";"145F";"Trust Deskset"
"VID_0200&PID_0201";"0200";"TP-Link";"0201";"MA180 UMTS Modem"
"VID_0204&PID_6025";"0204";"Chipsbank Microelectronics Co., Ltd";"6025";"CBM2080 / CBM2090 Flash drive controller"
"VID_0204&PID_6026";"0204";"Chipsbank Microelectronics Co., Ltd";"6026";"CBM1180 Flash drive controller"
"VID_0218&PID_0301";"0218";"Hangzhou Worlde";"0301";"MIDI Port"
"VID_02AD&PID_138C";"02AD";"HUMAX Co., Ltd.";"138C";"PVR Mass Storage"
"";"0303";"Mini Automation Controller";"";""
"VID_0324&PID_BC06";"0324";"OCZ Technology Inc";"BC06";"OCZ ATV USB 2.0 Flash Drive"
"VID_0324&PID_BC08";"0324";"OCZ Technology Inc";"BC08";"OCZ Rally2/ATV USB 2.0 Flash Drive"
"VID_0325&PID_AC02";"0325";"OCZ Technology Inc";"AC02";"ATV Turbo / Rally2 Dual Channel USB 2.0 Flash Drive"
"VID_0386&PID_0001";"0386";"LTS";"0001";"PSX for USB Converter"
"VID_03D9&PID_0499";"03D9";"Shenzhen Sinote Tech-Electron Co., Ltd";"0499";"SE340D PC Remote Control"
"VID_03DA&PID_0002";"03DA";"Bernd Walter Computer Technology";"0002";"HD44780 LCD interface"
